City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
344,Acajutla,SV,13.59,-89.83,89.6,33,0,3.44,clear sky
345,Caxito,AO,-8.58,13.66,78.8,83,20,5.75,few clouds
346,Nalut,LY,30.33,10.85,76.19,19,94,6.98,overcast clouds
347,Goure,NE,13.98,10.27,82.99,8,0,7.0,clear sky
348,Belyy Yar,RU,53.60,91.39,26.6,80,25,2.24,scattered clouds
349,Pombia,IT,45.65,8.63,46.99,61,0,2.3,clear sky
350,Oyem,GA,1.60,11.58,69.26,96,67,1.74,light rain
351,Pontevedra,ES,42.43,-8.64,61.0,67,0,2.3,clear sky
352,Tarragona,ES,41.13,1.25,54.0,93,0,1.14,clear sky
353,Obo,CF,5.40,26.49,78.76,26,89,2.53,overcast clouds
354,La Rioja,ES,42.25,-2.50,46.4,57,0,8.05,clear sky
355,Mamallapuram,IN,12.63,80.17,82.4,83,40,3.44,mist
356,Port-Cartier,CA,50.03,-66.87,33.8,93,90,5.75,snow
357,Aripuana,BR,-9.17,-60.63,75.38,91,99,2.73,overcast clouds
358,Mizdah,LY,31.45,12.98,70.97,35,98,13.2,overcast clouds
